ungeprüfte Rohdaten!;;;
Zeitzone:;UTC+1;;
Stationsname:;Stiefern;;
Stationsnummer:;207993;;
Parameter:;Durchfluss;;
Zeitreihenname:;Tagesminimum;Tagesmaximum;Tagesmittel
Werte von:;01.01.2022 00:00:00;;
Werte bis:;31.12.2022 23:59:59;;
Einheit:;m³/s;;
;;;
Datum;Wert;Wert;Wert
01.01.2022 00:00:00;4.17;4.84;4.43
02.01.2022 00:00:00;3.92;4.42;4.2
03.01.2022 00:00:00;3.55;4.77;4.17
04.01.2022 00:00:00;3.53;4.79;4.36
05.01.2022 00:00:00;3.97;4.62;4.32
06.01.2022 00:00:00;3.97;4.42;4.21
07.01.2022 00:00:00;3.84;4.34;4.11
08.01.2022 00:00:00;3.88;4.34;4.14
09.01.2022 00:00:00;3.84;4.53;4.12
10.01.2022 00:00:00;3.59;9.44;5.52
11.01.2022 00:00:00;7.85;8.43;8.2
12.01.2022 00:00:00;7.82;8.34;8.06
13.01.2022 00:00:00;8.05;8.34;8.2
14.01.2022 00:00:00;7.96;8.34;8.19
15.01.2022 00:00:00;3.84;8.29;5.58
16.01.2022 00:00:00;3.51;4.27;3.95
17.01.2022 00:00:00;3.77;8.89;5.4
18.01.2022 00:00:00;7.96;8.49;8.25
19.01.2022 00:00:00;8.05;8.43;8.24
20.01.2022 00:00:00;7.23;8.76;8.24
21.01.2022 00:00:00;7.57;8.29;8.08
22.01.2022 00:00:00;4.23;8.32;5.82
23.01.2022 00:00:00;4.03;4.82;4.29
24.01.2022 00:00:00;3.94;8.98;5.49
25.01.2022 00:00:00;7.99;8.37;8.18
26.01.2022 00:00:00;8.05;8.82;8.23
27.01.2022 00:00:00;7.96;8.34;8.17
28.01.2022 00:00:00;7.01;8.46;8.05
29.01.2022 00:00:00;3.9;8.23;5.4
30.01.2022 00:00:00;3.73;4.19;3.98
31.01.2022 00:00:00;3.75;9.07;7.25
01.02.2022 00:00:00;7.62;9.13;8.32
02.02.2022 00:00:00;8.05;8.58;8.32
03.02.2022 00:00:00;8.23;8.49;8.36
04.02.2022 00:00:00;5.13;9.92;8.17
05.02.2022 00:00:00;4.25;8.4;5.85
06.02.2022 00:00:00;3.84;4.47;4.23
07.02.2022 00:00:00;3.82;8.95;5.56
08.02.2022 00:00:00;7.99;8.4;8.23
09.02.2022 00:00:00;7.85;8.76;8.29
10.02.2022 00:00:00;8.02;8.4;8.24
11.02.2022 00:00:00;7.74;8.49;8.2
12.02.2022 00:00:00;3.79;8.46;5.47
13.02.2022 00:00:00;3.75;4.25;3.92
14.02.2022 00:00:00;3.57;9.51;5.12
15.02.2022 00:00:00;7.99;9.51;8.28
16.02.2022 00:00:00;8.02;8.34;8.22
17.02.2022 00:00:00;5.78;8.43;8.03
18.02.2022 00:00:00;6;10.4;8.14
19.02.2022 00:00:00;3.97;10.4;6.29
20.02.2022 00:00:00;3.79;4.4;4.08
21.02.2022 00:00:00;3.59;8.02;4.82
22.02.2022 00:00:00;2.5;5.09;3.78
23.02.2022 00:00:00;3.18;4.11;3.81
24.02.2022 00:00:00;3.61;4.73;3.85
25.02.2022 00:00:00;3.55;4.09;3.79
26.02.2022 00:00:00;3.5;3.94;3.75
27.02.2022 00:00:00;3.55;4.03;3.74
28.02.2022 00:00:00;3.5;4.01;3.72
01.03.2022 00:00:00;3.44;4.01;3.75
02.03.2022 00:00:00;3.51;9.86;5.1
03.03.2022 00:00:00;7.79;11.6;8.85
04.03.2022 00:00:00;7.74;8.52;8.09
05.03.2022 00:00:00;3.88;8.29;5.47
06.03.2022 00:00:00;3.75;4.3;4.01
07.03.2022 00:00:00;3.73;8.46;5.26
08.03.2022 00:00:00;7.65;8.05;7.87
09.03.2022 00:00:00;7.59;8.11;7.82
10.03.2022 00:00:00;7.68;8.14;7.87
11.03.2022 00:00:00;7.59;8.08;7.83
12.03.2022 00:00:00;3.27;8.05;5.1
13.03.2022 00:00:00;3.36;4.15;3.74
14.03.2022 00:00:00;3.44;9.54;5.03
15.03.2022 00:00:00;7.76;8.95;8.15
16.03.2022 00:00:00;8.05;8.49;8.23
17.03.2022 00:00:00;7.88;8.23;8.11
18.03.2022 00:00:00;7.91;8.23;8.09
19.03.2022 00:00:00;3.82;8.17;5.4
20.03.2022 00:00:00;3.69;4.23;3.96
21.03.2022 00:00:00;3.71;10;5.19
22.03.2022 00:00:00;7.76;8.11;7.95
23.03.2022 00:00:00;3.5;8.02;4.25
24.03.2022 00:00:00;3.38;4.27;3.76
25.03.2022 00:00:00;3.42;4.05;3.74
26.03.2022 00:00:00;3.44;4.03;3.7
27.03.2022 00:00:00;3.38;3.94;3.67
28.03.2022 00:00:00;3.13;11.7;6.35
29.03.2022 00:00:00;7.82;11.5;9.08
30.03.2022 00:00:00;7.76;8.43;8.11
31.03.2022 00:00:00;8.14;9.04;8.39
01.04.2022 00:00:00;8.43;9.04;8.72
02.04.2022 00:00:00;4.13;8.52;5.52
03.04.2022 00:00:00;4.05;4.49;4.29
04.04.2022 00:00:00;3.75;4.53;4.21
05.04.2022 00:00:00;3.86;4.51;4.2
06.04.2022 00:00:00;3.94;4.44;4.21
07.04.2022 00:00:00;3.94;4.44;4.21
08.04.2022 00:00:00;3.71;4.34;4.06
09.04.2022 00:00:00;3.88;4.3;4.05
10.04.2022 00:00:00;3.71;4.23;3.96
11.04.2022 00:00:00;3.63;6.54;4.25
12.04.2022 00:00:00;3.79;4.47;4.11
13.04.2022 00:00:00;3.73;4.32;4.04
14.04.2022 00:00:00;3.69;4.3;3.98
15.04.2022 00:00:00;3.69;4.17;3.97
16.04.2022 00:00:00;3.63;4.11;3.9
17.04.2022 00:00:00;3.63;4.27;3.9
18.04.2022 00:00:00;3.61;4.13;3.89
19.04.2022 00:00:00;3.71;4.55;4.05
20.04.2022 00:00:00;3.84;4.55;4.14
21.04.2022 00:00:00;3.29;4.25;3.99
22.04.2022 00:00:00;3.82;4.49;4.13
23.04.2022 00:00:00;3.97;4.73;4.31
24.04.2022 00:00:00;3.88;4.57;4.19
25.04.2022 00:00:00;3.29;9.76;5.72
26.04.2022 00:00:00;8.08;8.43;8.26
27.04.2022 00:00:00;7.26;8.67;8.33
28.04.2022 00:00:00;8.14;8.4;8.31
29.04.2022 00:00:00;7.96;8.7;8.29
30.04.2022 00:00:00;3.86;8.32;5.3
01.05.2022 00:00:00;3.4;4.44;4.02
02.05.2022 00:00:00;3;9.7;5.39
03.05.2022 00:00:00;7.82;8.26;8.08
04.05.2022 00:00:00;7.59;8.37;8.05
05.05.2022 00:00:00;7.68;8.32;8.1
06.05.2022 00:00:00;8.02;8.29;8.15
07.05.2022 00:00:00;3.73;8.23;5.24
08.05.2022 00:00:00;3.5;3.99;3.81
09.05.2022 00:00:00;3.48;4.13;3.77
10.05.2022 00:00:00;3.5;4.15;3.82
11.05.2022 00:00:00;3.44;4.19;3.78
12.05.2022 00:00:00;3.42;4.07;3.72
13.05.2022 00:00:00;3.71;4.88;4.02
14.05.2022 00:00:00;3.18;4.34;3.76
15.05.2022 00:00:00;3.31;4.07;3.64
16.05.2022 00:00:00;3.27;3.88;3.59
17.05.2022 00:00:00;2.73;4.19;3.65
18.05.2022 00:00:00;3.4;3.97;3.74
19.05.2022 00:00:00;3.29;3.75;3.53
20.05.2022 00:00:00;2.86;3.75;3.47
21.05.2022 00:00:00;3.36;4.11;3.7
22.05.2022 00:00:00;3.16;3.84;3.46
23.05.2022 00:00:00;2.97;3.75;3.4
24.05.2022 00:00:00;2.99;4.75;3.56
25.05.2022 00:00:00;4.49;9.6;6.95
26.05.2022 00:00:00;4.01;5.27;4.52
27.05.2022 00:00:00;3.67;4.34;3.98
28.05.2022 00:00:00;3.44;4.01;3.76
29.05.2022 00:00:00;3.36;3.94;3.66
30.05.2022 00:00:00;3.31;8.67;5.15
31.05.2022 00:00:00;7.4;8.17;7.78
01.06.2022 00:00:00;7.51;8.17;7.89
02.06.2022 00:00:00;5.85;9.35;7.87
03.06.2022 00:00:00;7.43;7.99;7.78
04.06.2022 00:00:00;3.36;7.94;5.58
05.06.2022 00:00:00;4.09;5.23;4.48
06.06.2022 00:00:00;4.09;6.35;4.97
07.06.2022 00:00:00;3.16;9.89;5.53
