ungeprüfte Rohdaten!;;;
Zeitzone:;UTC+1;;
Stationsname:;Stiefern;;
Stationsnummer:;207993;;
Parameter:;Wassertemperatur;;
Zeitreihenname:;Tagesmittel;;
Werte von:;01.01.2022 00:00:00;;
Werte bis:;31.12.2022 23:59:59;;
Einheit:;°C;;
;;;
Datum;Wert;;
01.01.2022 00:00:00;5.3;;
02.01.2022 00:00:00;5.2;;
03.01.2022 00:00:00;4.6;;
04.01.2022 00:00:00;4.9;;
05.01.2022 00:00:00;5.5;;
06.01.2022 00:00:00;4.4;;
07.01.2022 00:00:00;2;;
08.01.2022 00:00:00;0.8;;
09.01.2022 00:00:00;0.5;;
10.01.2022 00:00:00;1.4;;
11.01.2022 00:00:00;2.1;;
12.01.2022 00:00:00;1.4;;
13.01.2022 00:00:00;2.1;;
14.01.2022 00:00:00;2.4;;
15.01.2022 00:00:00;3.1;;
16.01.2022 00:00:00;2;;
17.01.2022 00:00:00;2.1;;
18.01.2022 00:00:00;2.6;;
19.01.2022 00:00:00;2;;
20.01.2022 00:00:00;2.2;;
21.01.2022 00:00:00;1.8;;
22.01.2022 00:00:00;1.7;;
23.01.2022 00:00:00;2.1;;
24.01.2022 00:00:00;2.7;;
25.01.2022 00:00:00;2.9;;
26.01.2022 00:00:00;3;;
27.01.2022 00:00:00;2.9;;
28.01.2022 00:00:00;2.9;;
29.01.2022 00:00:00;2.9;;
30.01.2022 00:00:00;3.1;;
31.01.2022 00:00:00;2.9;;
01.02.2022 00:00:00;3;;
02.02.2022 00:00:00;3;;
03.02.2022 00:00:00;2.9;;
04.02.2022 00:00:00;3.2;;
05.02.2022 00:00:00;3.4;;
06.02.2022 00:00:00;3;;
07.02.2022 00:00:00;3.2;;
08.02.2022 00:00:00;3.1;;
09.02.2022 00:00:00;3.8;;
10.02.2022 00:00:00;3.3;;
11.02.2022 00:00:00;3.6;;
12.02.2022 00:00:00;3.6;;
13.02.2022 00:00:00;2.6;;
14.02.2022 00:00:00;1.5;;
15.02.2022 00:00:00;2.1;;
16.02.2022 00:00:00;3.7;;
17.02.2022 00:00:00;5;;
18.02.2022 00:00:00;5;;
19.02.2022 00:00:00;4.8;;
20.02.2022 00:00:00;4.2;;
21.02.2022 00:00:00;4.5;;
22.02.2022 00:00:00;4.5;;
23.02.2022 00:00:00;4.7;;
24.02.2022 00:00:00;4.3;;
25.02.2022 00:00:00;4.1;;
26.02.2022 00:00:00;3.6;;
27.02.2022 00:00:00;3.6;;
28.02.2022 00:00:00;3.4;;
01.03.2022 00:00:00;2.6;;
02.03.2022 00:00:00;1.9;;
03.03.2022 00:00:00;2.2;;
04.03.2022 00:00:00;2.7;;
05.03.2022 00:00:00;3.1;;
06.03.2022 00:00:00;2.9;;
07.03.2022 00:00:00;2.7;;
08.03.2022 00:00:00;2.9;;
09.03.2022 00:00:00;3.2;;
10.03.2022 00:00:00;3.1;;
11.03.2022 00:00:00;2.7;;
12.03.2022 00:00:00;2.7;;
13.03.2022 00:00:00;2.6;;
14.03.2022 00:00:00;3.1;;
15.03.2022 00:00:00;3.9;;
16.03.2022 00:00:00;5;;
17.03.2022 00:00:00;5;;
18.03.2022 00:00:00;4.8;;
19.03.2022 00:00:00;5.1;;
20.03.2022 00:00:00;4.8;;
21.03.2022 00:00:00;4.7;;
22.03.2022 00:00:00;4.6;;
23.03.2022 00:00:00;5.6;;
24.03.2022 00:00:00;6.5;;
25.03.2022 00:00:00;7.1;;
26.03.2022 00:00:00;7.6;;
27.03.2022 00:00:00;8.2;;
28.03.2022 00:00:00;8.7;;
29.03.2022 00:00:00;7.5;;
30.03.2022 00:00:00;8.1;;
31.03.2022 00:00:00;7.1;;
01.04.2022 00:00:00;5.5;;
02.04.2022 00:00:00;4.7;;
03.04.2022 00:00:00;4.2;;
04.04.2022 00:00:00;4.8;;
05.04.2022 00:00:00;5.9;;
06.04.2022 00:00:00;8.4;;
07.04.2022 00:00:00;10.3;;
08.04.2022 00:00:00;10.4;;
09.04.2022 00:00:00;9.3;;
10.04.2022 00:00:00;8.1;;
11.04.2022 00:00:00;7.9;;
12.04.2022 00:00:00;8.6;;
13.04.2022 00:00:00;10;;
14.04.2022 00:00:00;11.3;;
15.04.2022 00:00:00;12.3;;
16.04.2022 00:00:00;11.1;;
17.04.2022 00:00:00;9.7;;
18.04.2022 00:00:00;8.3;;
19.04.2022 00:00:00;7.7;;
20.04.2022 00:00:00;8;;
21.04.2022 00:00:00;9.5;;
22.04.2022 00:00:00;9.5;;
23.04.2022 00:00:00;9.1;;
24.04.2022 00:00:00;9.5;;
25.04.2022 00:00:00;10.1;;
26.04.2022 00:00:00;9.5;;
27.04.2022 00:00:00;9.4;;
28.04.2022 00:00:00;9.5;;
29.04.2022 00:00:00;9.9;;
30.04.2022 00:00:00;11.3;;
01.05.2022 00:00:00;11.9;;
02.05.2022 00:00:00;13.1;;
03.05.2022 00:00:00;12.4;;
04.05.2022 00:00:00;12.1;;
05.05.2022 00:00:00;11.5;;
06.05.2022 00:00:00;10.9;;
07.05.2022 00:00:00;10.7;;
08.05.2022 00:00:00;11.7;;
09.05.2022 00:00:00;13.9;;
10.05.2022 00:00:00;15.5;;
11.05.2022 00:00:00;16.4;;
12.05.2022 00:00:00;16.4;;
13.05.2022 00:00:00;17;;
14.05.2022 00:00:00;17.3;;
15.05.2022 00:00:00;17.6;;
16.05.2022 00:00:00;17.8;;
17.05.2022 00:00:00;17.5;;
18.05.2022 00:00:00;17.3;;
19.05.2022 00:00:00;16.8;;
20.05.2022 00:00:00;18.1;;
21.05.2022 00:00:00;19.2;;
22.05.2022 00:00:00;18.9;;
23.05.2022 00:00:00;18.1;;
24.05.2022 00:00:00;17.4;;
25.05.2022 00:00:00;15.5;;
26.05.2022 00:00:00;15.4;;
27.05.2022 00:00:00;16.7;;
28.05.2022 00:00:00;17.1;;
29.05.2022 00:00:00;15.5;;
30.05.2022 00:00:00;15.2;;
31.05.2022 00:00:00;14.4;;
01.06.2022 00:00:00;14.8;;
02.06.2022 00:00:00;15.3;;
03.06.2022 00:00:00;14.9;;
04.06.2022 00:00:00;16.8;;
05.06.2022 00:00:00;18;;
06.06.2022 00:00:00;19.2;;
07.06.2022 00:00:00;18.6;;
08.06.2022 00:00:00;15.2;;
09.06.2022 00:00:00;14.3;;
10.06.2022 00:00:00;13.2;;
11.06.2022 00:00:00;14.5;;
12.06.2022 00:00:00;17;;
13.06.2022 00:00:00;18.1;;
14.06.2022 00:00:00;15.5;;
15.06.2022 00:00:00;15.3;;
16.06.2022 00:00:00;16.5;;
17.06.2022 00:00:00;17.5;;
18.06.2022 00:00:00;19.1;;
19.06.2022 00:00:00;20.6;;
20.06.2022 00:00:00;20.5;;
21.06.2022 00:00:00;17.4;;
22.06.2022 00:00:00;16.4;;
23.06.2022 00:00:00;16.2;;
24.06.2022 00:00:00;15.7;;
25.06.2022 00:00:00;16;;
26.06.2022 00:00:00;17.8;;
27.06.2022 00:00:00;19.9;;
28.06.2022 00:00:00;19.2;;
29.06.2022 00:00:00;17.7;;
30.06.2022 00:00:00;17.3;;
01.07.2022 00:00:00;18;;
02.07.2022 00:00:00;18.2;;
03.07.2022 00:00:00;19.5;;
04.07.2022 00:00:00;19.3;;
05.07.2022 00:00:00;15.9;;
06.07.2022 00:00:00;15.9;;
07.07.2022 00:00:00;15.3;;
08.07.2022 00:00:00;14.5;;
09.07.2022 00:00:00;14.5;;
10.07.2022 00:00:00;16.1;;
11.07.2022 00:00:00;17.2;;
12.07.2022 00:00:00;17.2;;
13.07.2022 00:00:00;18;;
14.07.2022 00:00:00;19.7;;
15.07.2022 00:00:00;20.7;;
16.07.2022 00:00:00;20;;
17.07.2022 00:00:00;18.9;;
18.07.2022 00:00:00;19.3;;
19.07.2022 00:00:00;20.2;;
20.07.2022 00:00:00;20.9;;
21.07.2022 00:00:00;21.6;;
22.07.2022 00:00:00;22.6;;
23.07.2022 00:00:00;22.7;;
24.07.2022 00:00:00;22.3;;
25.07.2022 00:00:00;21.9;;
26.07.2022 00:00:00;21.1;;
27.07.2022 00:00:00;20.2;;
28.07.2022 00:00:00;20;;
29.07.2022 00:00:00;19.5;;
30.07.2022 00:00:00;19.2;;
