Name;Thermochron8k
Type;DS1922/DS1923/DS2422/?
Label;112
Full Timestamp (dd.mm.yyyy hh:mm);Date (dd.mm.yyyy);Time (hh:mm);Hour (hh);Minute (mm);Temperature;Unit
29.06.2022 12:00;29.06.2022;12:00;12;00;24.8573;C
29.06.2022 13:00;29.06.2022;13:00;13;00;24.4823;C
29.06.2022 14:00;29.06.2022;14:00;14;00;24.4198;C
29.06.2022 15:00;29.06.2022;15:00;15;00;24.7323;C
29.06.2022 16:00;29.06.2022;16:00;16;00;25.0449;C
29.06.2022 17:00;29.06.2022;17:00;17;00;25.1074;C
29.06.2022 18:00;29.06.2022;18:00;18;00;25.2324;C
29.06.2022 19:00;29.06.2022;19:00;19;00;25.2949;C
29.06.2022 20:00;29.06.2022;20:00;20;00;25.2324;C
29.06.2022 21:00;29.06.2022;21:00;21;00;25.1074;C
29.06.2022 22:00;29.06.2022;22:00;22;00;24.9199;C
29.06.2022 23:00;29.06.2022;23:00;23;00;24.7323;C
30.06.2022 00:00;30.06.2022;00:00;00;00;24.6073;C
30.06.2022 01:00;30.06.2022;01:00;01;00;24.4198;C
30.06.2022 02:00;30.06.2022;02:00;02;00;24.2947;C
30.06.2022 03:00;30.06.2022;03:00;03;00;24.1697;C
30.06.2022 04:00;30.06.2022;04:00;04;00;24.1072;C
30.06.2022 05:00;30.06.2022;05:00;05;00;23.9821;C
30.06.2022 06:00;30.06.2022;06:00;06;00;23.8571;C
30.06.2022 07:00;30.06.2022;07:00;07;00;23.7946;C
30.06.2022 08:00;30.06.2022;08:00;08;00;23.6695;C
30.06.2022 09:00;30.06.2022;09:00;09;00;23.5445;C
30.06.2022 10:00;30.06.2022;10:00;10;00;23.482;C
30.06.2022 11:00;30.06.2022;11:00;11;00;23.482;C
30.06.2022 12:00;30.06.2022;12:00;12;00;23.607;C
30.06.2022 13:00;30.06.2022;13:00;13;00;23.732;C
30.06.2022 14:00;30.06.2022;14:00;14;00;23.9821;C
30.06.2022 15:00;30.06.2022;15:00;15;00;24.1072;C
30.06.2022 16:00;30.06.2022;16:00;16;00;24.1697;C
30.06.2022 17:00;30.06.2022;17:00;17;00;24.2947;C
30.06.2022 18:00;30.06.2022;18:00;18;00;24.6073;C
30.06.2022 19:00;30.06.2022;19:00;19;00;24.7323;C
30.06.2022 20:00;30.06.2022;20:00;20;00;24.8573;C
30.06.2022 21:00;30.06.2022;21:00;21;00;24.7323;C
30.06.2022 22:00;30.06.2022;22:00;22;00;24.6073;C
30.06.2022 23:00;30.06.2022;23:00;23;00;24.4198;C
01.07.2022 00:00;01.07.2022;00:00;00;00;24.2322;C
01.07.2022 01:00;01.07.2022;01:00;01;00;24.1072;C
01.07.2022 02:00;01.07.2022;02:00;02;00;23.9196;C
01.07.2022 03:00;01.07.2022;03:00;03;00;23.7946;C
01.07.2022 04:00;01.07.2022;04:00;04;00;23.6695;C
01.07.2022 05:00;01.07.2022;05:00;05;00;23.5445;C
01.07.2022 06:00;01.07.2022;06:00;06;00;23.482;C
01.07.2022 07:00;01.07.2022;07:00;07;00;23.2318;C
01.07.2022 08:00;01.07.2022;08:00;08;00;23.0443;C
01.07.2022 09:00;01.07.2022;09:00;09;00;23.0443;C
01.07.2022 10:00;01.07.2022;10:00;10;00;23.1693;C
01.07.2022 11:00;01.07.2022;11:00;11;00;23.4194;C
01.07.2022 12:00;01.07.2022;12:00;12;00;23.7946;C
01.07.2022 13:00;01.07.2022;13:00;13;00;24.1697;C
01.07.2022 14:00;01.07.2022;14:00;14;00;24.4198;C
01.07.2022 15:00;01.07.2022;15:00;15;00;24.7323;C
01.07.2022 16:00;01.07.2022;16:00;16;00;24.9824;C
01.07.2022 17:00;01.07.2022;17:00;17;00;25.1699;C
01.07.2022 18:00;01.07.2022;18:00;18;00;25.1074;C
01.07.2022 19:00;01.07.2022;19:00;19;00;24.9199;C
01.07.2022 20:00;01.07.2022;20:00;20;00;24.7948;C
01.07.2022 21:00;01.07.2022;21:00;21;00;24.6073;C
01.07.2022 22:00;01.07.2022;22:00;22;00;24.4823;C
01.07.2022 23:00;01.07.2022;23:00;23;00;24.3572;C
02.07.2022 00:00;02.07.2022;00:00;00;00;24.2322;C
02.07.2022 01:00;02.07.2022;01:00;01;00;24.1072;C
02.07.2022 02:00;02.07.2022;02:00;02;00;23.9821;C
02.07.2022 03:00;02.07.2022;03:00;03;00;23.8571;C
02.07.2022 04:00;02.07.2022;04:00;04;00;23.7946;C
02.07.2022 05:00;02.07.2022;05:00;05;00;23.6695;C
02.07.2022 06:00;02.07.2022;06:00;06;00;23.5445;C
02.07.2022 07:00;02.07.2022;07:00;07;00;22.9817;C
02.07.2022 08:00;02.07.2022;08:00;08;00;22.6065;C
02.07.2022 09:00;02.07.2022;09:00;09;00;22.1062;C
