Name;Thermochron8k
Type;DS1922/DS1923/DS2422/?
Label;114
Full Timestamp (dd.mm.yyyy hh:mm);Date (dd.mm.yyyy);Time (hh:mm);Hour (hh);Minute (mm);Temperature;Unit
29.06.2022 12:00;29.06.2022;12:00;12;00;28.688;C
29.06.2022 13:00;29.06.2022;13:00;13;00;22.6881;C
29.06.2022 14:00;29.06.2022;14:00;14;00;23.5638;C
29.06.2022 15:00;29.06.2022;15:00;15;00;25.0019;C
29.06.2022 16:00;29.06.2022;16:00;16;00;26.0644;C
29.06.2022 17:00;29.06.2022;17:00;17;00;26.4393;C
29.06.2022 18:00;29.06.2022;18:00;18;00;26.2519;C
29.06.2022 19:00;29.06.2022;19:00;19;00;25.8144;C
29.06.2022 20:00;29.06.2022;20:00;20;00;15.9876;C
29.06.2022 21:00;29.06.2022;21:00;21;00;15.9249;C
29.06.2022 22:00;29.06.2022;22:00;22;00;15.7996;C
29.06.2022 23:00;29.06.2022;23:00;23;00;15.6742;C
30.06.2022 00:00;30.06.2022;00:00;00;00;15.5488;C
30.06.2022 01:00;30.06.2022;01:00;01;00;15.298;C
30.06.2022 02:00;30.06.2022;02:00;02;00;14.7964;C
30.06.2022 03:00;30.06.2022;03:00;03;00;14.3574;C
30.06.2022 04:00;30.06.2022;04:00;04;00;14.0438;C
30.06.2022 05:00;30.06.2022;05:00;05;00;13.7301;C
30.06.2022 06:00;30.06.2022;06:00;06;00;14.5455;C
30.06.2022 07:00;30.06.2022;07:00;07;00;14.9845;C
30.06.2022 08:00;30.06.2022;08:00;08;00;14.9218;C
30.06.2022 09:00;30.06.2022;09:00;09;00;14.7336;C
30.06.2022 10:00;30.06.2022;10:00;10;00;14.7964;C
30.06.2022 11:00;30.06.2022;11:00;11;00;14.8591;C
30.06.2022 12:00;30.06.2022;12:00;12;00;15.1099;C
30.06.2022 13:00;30.06.2022;13:00;13;00;15.4861;C
30.06.2022 14:00;30.06.2022;14:00;14;00;15.8622;C
30.06.2022 15:00;30.06.2022;15:00;15;00;16.3637;C
30.06.2022 16:00;30.06.2022;16:00;16;00;16.8024;C
30.06.2022 17:00;30.06.2022;17:00;17;00;17.1785;C
30.06.2022 18:00;30.06.2022;18:00;18;00;17.4918;C
30.06.2022 19:00;30.06.2022;19:00;19;00;17.7424;C
